	KeywordRepititions	FieldRepititions	NumCoAuthored	NumOfReferences	NumOfReferencedBy	AffRepititions	ConfRepititions
690	1	1	1	17	4	1	1
691	1	1	1	6	234	0	4
692	1	1	1	24	12	1	1
693	1	1	1	5	53	0	1
694	1	1	1	10	83	1	2
695	0	0	1	0	6	1	1
696	0	0	1	0	6	1	1
697	0	0	1	0	6	1	1
698	0	0	1	0	6	1	1
699	0	0	1	0	6	1	1
700	0	0	1	0	6	1	1
701	0	0	1	0	6	1	1
702	0	0	1	0	6	1	1
703	0	0	1	0	6	1	1
704	0	0	1	0	6	1	1
