	KeywordRepititions	FieldRepititions	NumCoAuthored	NumOfSharedReferences	NumofSharedReferencedBy	AffRepititions	ConfRepititions
377	1.0	1.0	1.0	0.0	0.0	8.0	33.0
378	1.0	1.0	1.0	15.0	2.0	1.0	2.0
379	1.0	1.0	1.0	0.0	1.0	1.0	1.0
380	1.0	1.0	1.0	24.0	29.0	0.0	1.0
381	1.0	1.0	1.0	17.0	39.0	21.0	24.0
382	1.0	1.0	1.0	11.0	269.0	6.0	6.0
383	1.0	1.0	3.0	28.0	317.0	24.0	24.0
384	0.0	0.0	1.0	31.0	0.0	15.0	17.0
385	1.0	1.0	1.0	6.0	8.0	0.0	10.0
386	1.0	1.0	1.0	12.0	1.0	2.0	2.0
387	1.0	1.0	1.0	54.0	12.0	0.0	18.0
388	1.0	1.0	1.0	24.0	29.0	0.0	1.0
389	1.0	1.0	1.0	0.0	0.0	2.0	60.0
390	1.0	1.0	1.0	22.0	98.0	42.0	77.0
391	1.0	1.0	1.0	7.0	12.0	1.0	2.0
392	1.0	1.0	1.0	7.0	12.0	1.0	2.0
393	1.0	1.0	1.0	48.0	74.0	14.0	21.0
394	1.0	1.0	3.0	12.0	3.0	0.0	322.0
395	1.0	1.0	1.0	2.0	0.0	2.0	2.0
396	1.0	1.0	1.0	5.0	0.0	10.0	14.0
397	1.0	1.0	1.0	24.0	29.0	0.0	1.0
398	1.0	1.0	1.0	3.0	0.0	2.0	2.0
399	1.0	1.0	5.0	219.0	542.0	96.0	112.0
400	1.0	1.0	2.0	83.0	314.0	0.0	21.0
401	1.0	1.0	1.0	7.0	12.0	2.0	4.0
402	1.0	1.0	1.0	0.0	0.0	1.0	1.0
403	1.0	1.0	1.0	61.0	92.0	4.0	11.0
404	1.0	1.0	1.0	62.0	94.0	12.0	29.0
405	1.0	1.0	1.0	41.0	83.0	1.0	1.0
406	1.0	1.0	1.0	7.0	12.0	1.0	2.0
407	0.0	0.0	1.0	0.0	0.0	1.0	1.0
408	1.0	1.0	1.0	0.0	0.0	0.0	3.0
409	0.0	0.0	1.0	0.0	0.0	1.0	1.0
410	0.0	0.0	1.0	26.0	5.0	0.0	1.0
411	1.0	1.0	1.0	41.0	83.0	0.0	1.0
412	0.0	0.0	1.0	0.0	0.0	1.0	1.0
413	0.0	0.0	1.0	26.0	5.0	1.0	1.0
414	1.0	1.0	1.0	26.0	227.0	9.0	114.0
415	0.0	0.0	1.0	37.0	406.0	0.0	14.0
416	0.0	0.0	1.0	0.0	0.0	1.0	1.0
417	0.0	0.0	1.0	0.0	0.0	1.0	1.0
418	1.0	1.0	1.0	0.0	0.0	2.0	3.0
419	1.0	1.0	1.0	0.0	0.0	2.0	3.0
420	1.0	1.0	1.0	26.0	415.0	1.0	4.0
421	1.0	1.0	1.0	26.0	415.0	1.0	4.0
422	1.0	1.0	2.0	0.0	0.0	2.0	6.0
423	1.0	1.0	1.0	0.0	0.0	1.0	2.0
424	1.0	1.0	1.0	96.0	35.0	0.0	36.0
425	1.0	1.0	1.0	0.0	0.0	1.0	2.0
