	KeywordRepititions	FieldRepititions	NumCoAuthored	NumOfSharedReferences	NumofSharedReferencedBy	AffRepititions	ConfRepititions
1661	1.0	1.0	6.0	214.0	580.0	25.0	72.0
1662	0.0	0.0	1.0	0.0	0.0	115.0	132.0
1663	1.0	1.0	1.0	0.0	3.0	1.0	1.0
1664	1.0	1.0	1.0	61.0	37.0	1.0	1.0
1665	1.0	1.0	1.0	84.0	44.0	3.0	3.0
1666	1.0	1.0	1.0	24.0	15.0	3.0	3.0
1667	1.0	1.0	1.0	24.0	15.0	3.0	3.0
1668	1.0	1.0	1.0	53.0	39.0	0.0	27.0
1669	0.0	0.0	1.0	29.0	90.0	0.0	1.0
1670	1.0	1.0	1.0	25.0	2.0	2.0	3.0
1671	1.0	1.0	1.0	25.0	2.0	2.0	3.0
1672	1.0	1.0	2.0	50.0	63.0	12.0	16.0
1673	1.0	1.0	1.0	24.0	15.0	3.0	3.0
1674	0.0	0.0	5.0	1.0	0.0	80.0	102.0
1675	1.0	1.0	6.0	112.0	359.0	241.0	374.0
1676	0.0	0.0	1.0	29.0	90.0	1.0	1.0
1677	1.0	1.0	2.0	46.0	140.0	48.0	527.0
1678	1.0	1.0	3.0	49.0	62.0	128.0	136.0
1679	0.0	0.0	1.0	4.0	0.0	1.0	1.0
1680	0.0	0.0	1.0	28.0	42.0	1.0	1.0
1681	0.0	0.0	1.0	28.0	42.0	1.0	1.0
1682	1.0	1.0	1.0	15.0	17.0	0.0	11.0
1683	0.0	0.0	1.0	0.0	0.0	3.0	4.0
1684	0.0	0.0	3.0	22.0	23.0	145.0	170.0
1685	0.0	0.0	3.0	0.0	0.0	48.0	51.0
1686	1.0	1.0	3.0	74.0	104.0	15.0	32.0
1687	0.0	0.0	1.0	0.0	0.0	6.0	8.0
1688	1.0	1.0	1.0	15.0	17.0	9.0	11.0
1689	1.0	1.0	1.0	15.0	17.0	9.0	11.0
1690	1.0	1.0	1.0	15.0	17.0	9.0	11.0
1691	1.0	1.0	1.0	44.0	35.0	1.0	1.0
1692	0.0	0.0	1.0	0.0	0.0	1.0	1.0
1693	1.0	1.0	1.0	0.0	3.0	3.0	3.0
1694	1.0	1.0	1.0	8.0	0.0	4.0	8.0
1695	1.0	1.0	8.0	210.0	197.0	483.0	646.0
1696	0.0	0.0	1.0	0.0	0.0	32.0	34.0
1697	0.0	0.0	1.0	0.0	0.0	3.0	4.0
1698	1.0	1.0	1.0	20.0	660.0	0.0	23.0
1699	1.0	1.0	1.0	32.0	12.0	2.0	2.0
1700	0.0	0.0	1.0	0.0	0.0	0.0	8.0
1701	0.0	0.0	1.0	0.0	0.0	3.0	4.0
1702	0.0	0.0	1.0	0.0	0.0	5.0	6.0
1703	0.0	0.0	1.0	0.0	0.0	3.0	4.0
1704	0.0	0.0	1.0	0.0	0.0	3.0	4.0
1705	0.0	0.0	1.0	0.0	0.0	3.0	4.0
1706	0.0	0.0	1.0	0.0	0.0	2.0	2.0
1707	0.0	0.0	4.0	0.0	1.0	20.0	40.0
1708	0.0	0.0	1.0	0.0	0.0	2.0	2.0
1709	0.0	0.0	3.0	0.0	1.0	14.0	28.0
1710	0.0	0.0	1.0	57.0	7.0	0.0	28.0
1711	1.0	1.0	24.0	1269.0	3156.0	597.0	1482.0
