	KeywordRepititions	FieldRepititions	NumCoAuthored	NumOfReferences	NumOfReferencedBy	AffRepititions	ConfRepititions
631	1	1	1	11	49	7	7
632	1	1	1	11	49	3	3
633	1	1	1	27	38	9	9
634	1	1	1	17	10	1	1
635	1	1	1	28	20	1	1
636	1	1	1	30	20	7	7
637	1	1	1	7	22	0	2
638	1	1	1	6	8	1	1
639	1	1	1	6	8	1	1
640	1	1	1	8	30	0	2
641	1	1	1	9	83	2	2
642	1	1	1	0	10	0	1
643	1	1	1	30	20	7	7
644	1	1	2	28	106	4	4
645	1	1	1	40	39	6	6
646	1	1	1	22	25	1	2
647	1	1	1	6	9	0	2
648	1	1	1	13	10	0	6
649	1	1	1	20	10	0	36
650	1	1	1	13	10	4	6
651	1	1	1	40	23	0	1
652	1	1	1	24	65	16	18
653	1	1	1	47	32	0	1
654	1	1	2	32	120	21	21
655	1	1	1	13	29	1	1
656	1	1	2	57	125	18	18
657	1	1	1	5	3	7	7
658	1	1	1	5	3	0	7
659	1	1	1	5	3	7	7
660	0	0	1	13	25	1	1
661	1	1	1	18	4	6	8
662	1	1	1	15	50	1	1
663	1	1	1	5	3	0	1
664	1	1	1	5	3	1	1
665	1	1	2	59	89	7	12
666	1	1	1	17	43	0	6
667	1	1	1	15	9	0	6
668	1	1	1	12	9	0	1
669	1	1	1	17	4	0	1
670	1	1	1	17	4	0	1
671	1	1	1	17	4	0	1
672	1	1	1	0	2	1	1
673	1	1	1	0	2	1	1
674	1	1	1	17	4	1	1
675	1	1	1	17	4	1	1
676	1	1	1	32	15	1	3
677	1	1	1	3	37	1	1
678	1	1	1	0	2	1	1
679	1	1	1	13	4	1	1
680	1	1	1	15	9	0	6
681	1	1	1	5	3	0	1
682	1	1	1	2	3	0	2
683	1	1	1	6	8	1	1
684	1	1	1	17	4	1	1
685	1	1	1	4	10	2	2
686	1	1	1	14	33	0	1
687	1	1	1	2	16	1	1
